,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,port hardy,50.7,-127.42,51.8,76,75,3.36,CA,1604282430
323,belize,17.25,-88.75,72.0,89,84,1.59,BZ,1604282375
324,pemangkat,1.17,108.97,82.36,76,100,3.29,ID,1604282240
325,pitimbu,-7.47,-34.81,78.8,83,75,6.93,BR,1604282431
326,kyren,51.68,102.14,24.58,85,4,0.65,RU,1604282431
327,lubaczow,50.16,23.12,39.0,99,95,4.83,PL,1604282431
328,sfantu gheorghe,45.87,25.78,32.0,81,1,1.92,RO,1604282432
329,san ramon,37.78,-121.98,73.4,25,1,0.81,US,1604282404
330,cervo,43.67,-7.41,69.01,1,100,12.24,ES,1604282432
331,vilyuysk,63.76,121.62,3.06,91,34,8.97,RU,1604282432
332,dubbo,-32.25,148.62,75.2,41,40,10.29,AU,1604282230
333,alugan,12.22,125.48,84.9,67,95,4.09,PH,1604282433
334,damghan,36.17,54.35,52.65,41,78,1.52,IR,1604282433
335,bengkulu,-3.8,102.27,79.47,81,100,1.07,ID,1604282434
336,port macquarie,-31.43,152.92,66.99,93,75,10.29,AU,1604282434
337,edson,53.58,-116.44,51.8,40,90,4.7,CA,1604282434
338,sundumbili,-29.13,31.4,60.8,93,90,6.93,ZA,1604282434
339,likasi,-10.98,26.73,62.69,60,58,2.08,CD,1604282435
340,naze,28.37,129.48,80.6,83,20,3.36,JP,1604282436
341,constantine,36.37,6.61,50.0,87,0,2.24,DZ,1604282436
342,fuling,29.7,107.39,56.16,88,100,1.63,CN,1604282271
343,bose,45.46,8.01,48.99,95,100,1.12,IT,1604282436
344,nouadhibou,20.93,-17.03,73.4,56,100,12.75,MR,1604282437
345,kerchevskiy,59.95,56.29,26.4,96,0,3.42,RU,1604282437
346,monteagudo,-19.82,-63.98,60.71,47,15,3.09,BO,1604282437
347,hasaki,35.73,140.83,68.0,82,75,12.75,JP,1604282438
348,uige,-7.61,15.06,66.4,96,100,1.39,AO,1604282438
349,abha,18.22,42.51,57.2,34,0,2.08,SA,1604282438
350,lavrentiya,65.58,-171.0,22.66,86,23,6.02,RU,1604282439
351,sompeta,18.93,84.6,80.64,72,46,4.38,IN,1604282439
352,luderitz,-26.65,15.16,61.09,68,100,5.61,NA,1604282439
353,coihaique,-45.58,-72.07,57.2,54,0,3.36,CL,1604282439
354,lamar,33.67,-95.58,53.6,54,1,5.82,US,1604282440
355,shache,38.42,77.24,36.91,70,38,1.83,CN,1604282440
356,umm kaddadah,13.6,26.69,78.37,25,18,22.28,SD,1604282440
357,sawang daen din,17.48,103.46,81.0,67,33,6.44,TH,1604282441
358,okha,53.57,142.95,43.11,97,100,16.8,RU,1604282441
359,joshimath,30.57,79.57,52.25,40,0,3.91,IN,1604282441
360,boyuibe,-20.42,-63.28,65.88,39,0,5.17,BO,1604282442
361,santa maria,-29.68,-53.81,64.4,68,0,12.75,BR,1604282238
362,caravelas,-17.71,-39.25,71.89,84,100,10.67,BR,1604282442
363,moranbah,-22.0,148.05,90.18,28,0,13.2,AU,1604282443
364,kollam,8.88,76.6,80.6,83,20,3.29,IN,1604282228
365,tagusao,9.19,117.81,83.32,75,100,13.22,PH,1604282443
366,poli,-3.33,36.8,69.8,100,75,9.17,TZ,1604282444
367,yumen,40.28,97.2,43.09,53,0,3.42,CN,1604282444
368,vizinga,61.07,50.1,25.97,97,0,3.29,RU,1604282444
369,verkhniy avzyan,53.53,57.54,29.82,97,12,2.73,RU,1604282444
370,challapata,-18.9,-66.77,51.76,40,10,4.41,BO,1604282445
371,bras-panon,-21.0,55.68,66.99,63,75,9.17,RE,1604282445
372,kapit,2.02,112.93,87.06,61,100,2.73,MY,1604282445
373,talara,-4.58,-81.27,63.75,88,91,13.4,PE,1604282349
374,beyneu,45.32,55.2,47.88,50,7,14.29,KZ,1604282446
375,saldanha,-33.01,17.94,64.4,63,0,3.36,ZA,1604282387
376,hamilton,39.18,-84.53,39.2,44,90,11.41,US,1604282406
377,balabac,7.99,117.06,84.06,75,100,13.8,PH,1604282447
378,borovoy,55.43,86.08,32.0,96,0,11.18,RU,1604282447
379,kui buri,12.08,99.85,82.4,78,20,3.36,TH,1604282448
380,landskrona,55.87,12.83,57.0,97,100,1.01,SE,1604282448
